id,date,category,subcategory,description,amount,department,vendor,cost_center,approved_by,status,created_at
6881,2024-02-09,In-flight Services,Catering,Catering - LSG Sky Chefs,1231221.48,Customer Experience,LSG Sky Chefs,CC-CAB-610,VP Customer Experience,Paid,2024-02-09 14:45:00
6882,2024-02-09,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,857824.56,Finance & Accounting,Marsh Aviation,CC-FIN-710,Controller,Approved,2024-02-09 16:20:00
6883,2024-02-09,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2100644.41,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-09 16:20:00
6884,2024-02-09,General & Admin,IT & Communications,IT & Communications - Microsoft,471605.03,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Approved,2024-02-09 14:45:00
6885,2024-02-09,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,355772.21,Corporate Services,JLL,CC-COR-810,Director Procurement,Pending,2024-02-09 10:15:00
6886,2024-02-10,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,1799299.21,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2024-02-10 14:45:00
6887,2024-02-10,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,12945049.22,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Approved,2024-02-10 12:30:00
6888,2024-02-10,Fuel,Into-Plane Services,Into-Plane Services - Menzies Aviation,2010592.97,Flight Operations,Menzies Aviation,CC-FLT-110,Chief Pilot,Paid,2024-02-10 14:45:00
6889,2024-02-10,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6645690.32,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2024-02-10 14:45:00
6890,2024-02-10,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5864741.1,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2024-02-10 16:20:00
6891,2024-02-10,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2918925.33,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Approved,2024-02-10 14:45:00
6892,2024-02-10,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,2113704.55,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,VP Maintenance,Paid,2024-02-10 14:45:00
6893,2024-02-10,Airport Operations,Landing Fees,Landing Fees - Dallas/Fort Worth DFW,2465003.09,Airport Operations,Dallas/Fort Worth DFW,CC-AIR-410,Director Stations,Approved,2024-02-10 12:30:00
6894,2024-02-10,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,958612.31,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Approved,2024-02-10 10:15:00
6895,2024-02-10,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,3451215.65,Fleet Management,AerCap,CC-FLT-120,Treasury Director,Approved,2024-02-10 12:30:00
6896,2024-02-10,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,1155893.76,Commercial & Marketing,Travelport,CC-COM-510,Director Revenue Mgmt,Paid,2024-02-10 16:20:00
6897,2024-02-10,Sales & Distribution,Credit Card Processing,Credit Card Processing - Visa Merchant Services,708451.01,Commercial & Marketing,Visa Merchant Services,CC-COM-510,Chief Commercial Officer,Paid,2024-02-10 14:45:00
6898,2024-02-10,In-flight Services,Catering,Catering - dnata Catering,1301774.9,Customer Experience,dnata Catering,CC-CAB-610,VP Customer Experience,Paid,2024-02-10 12:30:00
6899,2024-02-10,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,818179.33,Finance & Accounting,Marsh Aviation,CC-FIN-710,Controller,Approved,2024-02-10 16:20:00
6900,2024-02-10,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2205739.47,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-10 12:30:00
6901,2024-02-10,General & Admin,IT & Communications,IT & Communications - Microsoft,560475.75,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Approved,2024-02-10 10:15:00
6902,2024-02-10,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,422815.04,Corporate Services,JLL,CC-COR-810,VP Corporate Services,Paid,2024-02-10 12:30:00
6903,2024-02-11,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,13054749.35,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2024-02-11 16:20:00
6904,2024-02-11,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,1011719.4,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Approved,2024-02-11 12:30:00
6905,2024-02-11,Fuel,Into-Plane Services,Into-Plane Services - Menzies Aviation,1918154.83,Flight Operations,Menzies Aviation,CC-FLT-110,Chief Pilot,Paid,2024-02-11 14:45:00
6906,2024-02-11,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,7146956.91,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2024-02-11 16:20:00
6907,2024-02-11,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6535010.25,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2024-02-11 16:20:00
6908,2024-02-11,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2975662.9,Maintenance & Engineering,Delta TechOps,CC-MNT-310,Director Engineering,Approved,2024-02-11 12:30:00
6909,2024-02-11,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Rolls-Royce TotalCare,2154790.37,Maintenance & Engineering,Rolls-Royce TotalCare,CC-MNT-310,Director Engineering,Approved,2024-02-11 14:45:00
6910,2024-02-11,Airport Operations,Landing Fees,Landing Fees - Los Angeles LAX,2577064.64,Airport Operations,Los Angeles LAX,CC-AIR-410,VP Airports,Paid,2024-02-11 14:45:00
6911,2024-02-11,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,1002191.8,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Paid,2024-02-11 12:30:00
6912,2024-02-11,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,3810168.95,Fleet Management,AerCap,CC-FLT-120,VP Fleet,Approved,2024-02-11 12:30:00
6913,2024-02-11,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,1273438.81,Commercial & Marketing,Amadeus,CC-COM-510,Chief Commercial Officer,Approved,2024-02-11 16:20:00
6914,2024-02-11,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,780494.75,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Paid,2024-02-11 10:15:00
6915,2024-02-11,In-flight Services,Catering,Catering - Gate Gourmet,1404885.02,Customer Experience,Gate Gourmet,CC-CAB-610,VP Customer Experience,Paid,2024-02-11 16:20:00
6916,2024-02-11,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Allianz Global Corporate & Specialty,858648.04,Finance & Accounting,Allianz Global Corporate & Specialty,CC-FIN-710,Controller,Paid,2024-02-11 16:20:00
6917,2024-02-11,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2206493.93,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-11 12:30:00
6918,2024-02-11,General & Admin,IT & Communications,IT & Communications - AT&T Business,376926.64,Corporate Services,AT&T Business,CC-COR-810,Director Procurement,Paid,2024-02-11 16:20:00
6919,2024-02-11,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,284348.16,Corporate Services,JLL,CC-COR-810,Director Procurement,Approved,2024-02-11 14:45:00
6920,2024-02-12,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,9113278.92,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2024-02-12 16:20:00
6921,2024-02-12,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,4511754.69,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Approved,2024-02-12 16:20:00
6922,2024-02-12,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1857959.13,Flight Operations,Swissport Fueling,CC-FLT-110,Chief Pilot,Paid,2024-02-12 12:30:00
6923,2024-02-12,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6551485.94,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2024-02-12 14:45:00
6924,2024-02-12,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5590573.95,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2024-02-12 14:45:00
6925,2024-02-12,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2502597.36,Maintenance & Engineering,AAR Corp,CC-MNT-310,VP Maintenance,Approved,2024-02-12 16:20:00
6926,2024-02-12,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1812225.67,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,Director Engineering,Approved,2024-02-12 14:45:00
6927,2024-02-12,Airport Operations,Landing Fees,Landing Fees - Dallas/Fort Worth DFW,2326982.57,Airport Operations,Dallas/Fort Worth DFW,CC-AIR-410,VP Airports,Pending,2024-02-12 16:20:00
6928,2024-02-12,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,904937.67,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Approved,2024-02-12 14:45:00
6929,2024-02-12,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3364512.12,Fleet Management,SMBC Aviation Capital,CC-FLT-120,Treasury Director,Approved,2024-02-12 14:45:00
6930,2024-02-12,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,979992.04,Commercial & Marketing,Amadeus,CC-COM-510,Chief Commercial Officer,Approved,2024-02-12 16:20:00
6931,2024-02-12,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,600640.29,Commercial & Marketing,American Express Merchant,CC-COM-510,Chief Commercial Officer,Approved,2024-02-12 10:15:00
6932,2024-02-12,In-flight Services,Catering,Catering - LSG Sky Chefs,1232129.42,Customer Experience,LSG Sky Chefs,CC-CAB-610,VP Customer Experience,Approved,2024-02-12 14:45:00
6933,2024-02-12,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,918886.87,Finance & Accounting,Marsh Aviation,CC-FIN-710,CFO,Paid,2024-02-12 14:45:00
6934,2024-02-12,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2212347.66,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-12 12:30:00
6935,2024-02-12,General & Admin,IT & Communications,IT & Communications - SITA,435649.72,Corporate Services,SITA,CC-COR-810,Director Procurement,Paid,2024-02-12 14:45:00
6936,2024-02-12,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,328648.03,Corporate Services,JLL,CC-COR-810,Director Procurement,Paid,2024-02-12 16:20:00
6937,2024-02-13,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,435713.69,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2024-02-13 12:30:00
6938,2024-02-13,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,11514900.86,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Paid,2024-02-13 12:30:00
6939,2024-02-13,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1629629.26,Flight Operations,Swissport Fueling,CC-FLT-110,Chief Pilot,Pending,2024-02-13 10:15:00
6940,2024-02-13,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6265119.01,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2024-02-13 10:15:00
6941,2024-02-13,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,4777898.03,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2024-02-13 14:45:00
6942,2024-02-13,Maintenance,Line Maintenance,Line Maintenance - Lufthansa Technik,2142870.35,Maintenance & Engineering,Lufthansa Technik,CC-MNT-310,Director Engineering,Paid,2024-02-13 10:15:00
6943,2024-02-13,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,1551733.7,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,Director Engineering,Paid,2024-02-13 10:15:00
6944,2024-02-13,Airport Operations,Landing Fees,Landing Fees - Atlanta ATL,2169142.46,Airport Operations,Atlanta ATL,CC-AIR-410,VP Airports,Paid,2024-02-13 14:45:00
6945,2024-02-13,Airport Operations,Ground Handling,Ground Handling - dnata,843555.4,Airport Operations,dnata,CC-AIR-410,VP Airports,Paid,2024-02-13 16:20:00
6946,2024-02-13,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - Avolon,3304615.59,Fleet Management,Avolon,CC-FLT-120,Treasury Director,Approved,2024-02-13 14:45:00
6947,2024-02-13,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,1002282.87,Commercial & Marketing,Travelport,CC-COM-510,Director Revenue Mgmt,Approved,2024-02-13 16:20:00
6948,2024-02-13,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,614302.4,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Approved,2024-02-13 10:15:00
6949,2024-02-13,In-flight Services,Catering,Catering - Gate Gourmet,1112512.56,Customer Experience,Gate Gourmet,CC-CAB-610,Cabin Services Director,Paid,2024-02-13 16:20:00
6950,2024-02-13,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Allianz Global Corporate & Specialty,736185.39,Finance & Accounting,Allianz Global Corporate & Specialty,CC-FIN-710,Controller,Approved,2024-02-13 12:30:00
6951,2024-02-13,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1801581.03,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-13 12:30:00
6952,2024-02-13,General & Admin,IT & Communications,IT & Communications - Microsoft,400672.13,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Approved,2024-02-13 14:45:00
6953,2024-02-13,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,302261.43,Corporate Services,JLL,CC-COR-810,VP Corporate Services,Approved,2024-02-13 12:30:00
6954,2024-02-14,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,12171808.71,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Paid,2024-02-14 10:15:00
6955,2024-02-14,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,484322.7,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2024-02-14 12:30:00
6956,2024-02-14,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1725836.1,Flight Operations,Swissport Fueling,CC-FLT-110,Chief Pilot,Pending,2024-02-14 10:15:00
6957,2024-02-14,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5975987.13,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2024-02-14 12:30:00
6958,2024-02-14,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5642460.55,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Pending,2024-02-14 10:15:00
6959,2024-02-14,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2557767.79,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Approved,2024-02-14 12:30:00
6960,2024-02-14,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Pratt & Whitney Services,1852176.67,Maintenance & Engineering,Pratt & Whitney Services,CC-MNT-310,Director Engineering,Approved,2024-02-14 14:45:00
6961,2024-02-14,Airport Operations,Landing Fees,Landing Fees - Chicago ORD,1961226.37,Airport Operations,Chicago ORD,CC-AIR-410,Director Stations,Approved,2024-02-14 12:30:00
6962,2024-02-14,Airport Operations,Ground Handling,Ground Handling - Swissport,762699.14,Airport Operations,Swissport,CC-AIR-410,VP Airports,Approved,2024-02-14 14:45:00
6963,2024-02-14,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,3277010.05,Fleet Management,AerCap,CC-FLT-120,Treasury Director,Approved,2024-02-14 14:45:00
6964,2024-02-14,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,1052101.77,Commercial & Marketing,Amadeus,CC-COM-510,Chief Commercial Officer,Approved,2024-02-14 14:45:00
6965,2024-02-14,Sales & Distribution,Credit Card Processing,Credit Card Processing - Visa Merchant Services,644836.57,Commercial & Marketing,Visa Merchant Services,CC-COM-510,Chief Commercial Officer,Approved,2024-02-14 12:30:00
6966,2024-02-14,In-flight Services,Catering,Catering - dnata Catering,1044344.18,Customer Experience,dnata Catering,CC-CAB-610,VP Customer Experience,Paid,2024-02-14 16:20:00
6967,2024-02-14,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,744384.46,Finance & Accounting,Marsh Aviation,CC-FIN-710,CFO,Paid,2024-02-14 10:15:00
6968,2024-02-14,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1964827.01,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-14 14:45:00
6969,2024-02-14,General & Admin,IT & Communications,IT & Communications - Microsoft,405859.59,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Approved,2024-02-14 12:30:00
6970,2024-02-14,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,306174.78,Corporate Services,JLL,CC-COR-810,VP Corporate Services,Pending,2024-02-14 10:15:00
6971,2024-02-15,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,9679586.37,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2024-02-15 14:45:00
6972,2024-02-15,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,2621547.67,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Approved,2024-02-15 16:20:00
6973,2024-02-15,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1677427.37,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Approved,2024-02-15 14:45:00
6974,2024-02-15,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5385615.13,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2024-02-15 14:45:00
6975,2024-02-15,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,4826702.01,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2024-02-15 14:45:00
6976,2024-02-15,Maintenance,Line Maintenance,Line Maintenance - Lufthansa Technik,2156884.99,Maintenance & Engineering,Lufthansa Technik,CC-MNT-310,VP Maintenance,Pending,2024-02-15 16:20:00
6977,2024-02-15,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1561882.24,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,Director Engineering,Paid,2024-02-15 10:15:00
6978,2024-02-15,Airport Operations,Landing Fees,Landing Fees - Chicago ORD,1989127.78,Airport Operations,Chicago ORD,CC-AIR-410,Director Stations,Approved,2024-02-15 12:30:00
6979,2024-02-15,Airport Operations,Ground Handling,Ground Handling - Swissport,773549.69,Airport Operations,Swissport,CC-AIR-410,VP Airports,Pending,2024-02-15 10:15:00
6980,2024-02-15,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3083685.23,Fleet Management,SMBC Aviation Capital,CC-FLT-120,VP Fleet,Approved,2024-02-15 10:15:00
6981,2024-02-15,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,1015090.47,Commercial & Marketing,Travelport,CC-COM-510,Chief Commercial Officer,Paid,2024-02-15 12:30:00
6982,2024-02-15,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,622152.23,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Chief Commercial Officer,Paid,2024-02-15 16:20:00
6983,2024-02-15,In-flight Services,Catering,Catering - LSG Sky Chefs,1032957.32,Customer Experience,LSG Sky Chefs,CC-CAB-610,Cabin Services Director,Approved,2024-02-15 12:30:00
6984,2024-02-15,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Allianz Global Corporate & Specialty,734130.14,Finance & Accounting,Allianz Global Corporate & Specialty,CC-FIN-710,CFO,Approved,2024-02-15 14:45:00
6985,2024-02-15,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1800432.8,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2024-02-15 10:15:00
6986,2024-02-15,General & Admin,IT & Communications,IT & Communications - AT&T Business,369526.72,Corporate Services,AT&T Business,CC-COR-810,VP Corporate Services,Approved,2024-02-15 14:45:00
6987,2024-02-15,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,278765.77,Corporate Services,JLL,CC-COR-810,Director Procurement,Pending,2024-02-15 14:45:00
6988,2024-02-16,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,8946138.8,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Pending,2024-02-16 14:45:00
6989,2024-02-16,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,4230701.18,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Approved,2024-02-16 12:30:00
6990,2024-02-16,Fuel,Into-Plane Services,Into-Plane Services - Menzies Aviation,1796841.81,Flight Operations,Menzies Aviation,CC-FLT-110,Chief Pilot,Paid,2024-02-16 14:45:00
6991,2024-02-16,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6703598.05,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Paid,2024-02-16 10:15:00
6992,2024-02-16,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5671493.35,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2024-02-16 10:15:00
6993,2024-02-16,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2701238.91,Maintenance & Engineering,Delta TechOps,CC-MNT-310,Director Engineering,Approved,2024-02-16 16:20:00
6994,2024-02-16,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Rolls-Royce TotalCare,1956069.56,Maintenance & Engineering,Rolls-Royce TotalCare,CC-MNT-310,VP Maintenance,Paid,2024-02-16 10:15:00
6995,2024-02-16,Airport Operations,Landing Fees,Landing Fees - Atlanta ATL,2089809.53,Airport Operations,Atlanta ATL,CC-AIR-410,Director Stations,Approved,2024-02-16 14:45:00
6996,2024-02-16,Airport Operations,Ground Handling,Ground Handling - dnata,812703.7,Airport Operations,dnata,CC-AIR-410,Director Stations,Approved,2024-02-16 16:20:00
6997,2024-02-16,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3205610.98,Fleet Management,SMBC Aviation Capital,CC-FLT-120,Treasury Director,Approved,2024-02-16 14:45:00
6998,2024-02-16,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,1021898.48,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Director Revenue Mgmt,Approved,2024-02-16 12:30:00
6999,2024-02-16,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,626324.88,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Chief Commercial Officer,Approved,2024-02-16 14:45:00
7000,2024-02-16,In-flight Services,Catering,Catering - Gate Gourmet,1187433.37,Customer Experience,Gate Gourmet,CC-CAB-610,VP Customer Experience,Approved,2024-02-16 14:45:00
7001,2024-02-16,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,838064.39,Finance & Accounting,Marsh Aviation,CC-FIN-710,CFO,Pending,2024-02-16 10:15:00
7002,2024-02-16,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1996555.08,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2024-02-16 10:15:00
7003,2024-02-16,General & Admin,IT & Communications,IT & Communications - AT&T Business,394363.6,Corporate Services,AT&T Business,CC-COR-810,Director Procurement,Pending,2024-02-16 16:20:00
7004,2024-02-16,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,297502.36,Corporate Services,ConEdison,CC-COR-810,VP Corporate Services,Approved,2024-02-16 12:30:00
7005,2024-02-17,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,1931934.93,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Paid,2024-02-17 12:30:00
7006,2024-02-17,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,12893966.43,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2024-02-17 12:30:00
7007,2024-02-17,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,2021713.82,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Approved,2024-02-17 10:15:00
7008,2024-02-17,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,7297090.78,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Pending,2024-02-17 16:20:00
7009,2024-02-17,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,6028231.87,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2024-02-17 16:20:00
7010,2024-02-17,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2926739.14,Maintenance & Engineering,AAR Corp,CC-MNT-310,VP Maintenance,Approved,2024-02-17 14:45:00
7011,2024-02-17,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,2119362.83,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,VP Maintenance,Paid,2024-02-17 10:15:00
7012,2024-02-17,Airport Operations,Landing Fees,Landing Fees - Los Angeles LAX,2255381.61,Airport Operations,Los Angeles LAX,CC-AIR-410,VP Airports,Approved,2024-02-17 14:45:00
7013,2024-02-17,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,877092.85,Airport Operations,Menzies Aviation,CC-AIR-410,VP Airports,Paid,2024-02-17 16:20:00
7014,2024-02-17,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,3643208.39,Fleet Management,AerCap,CC-FLT-120,VP Fleet,Approved,2024-02-17 10:15:00
7015,2024-02-17,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,1217042.72,Commercial & Marketing,Amadeus,CC-COM-510,Director Revenue Mgmt,Pending,2024-02-17 14:45:00
7016,2024-02-17,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,745929.41,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Director Revenue Mgmt,Paid,2024-02-17 12:30:00
7017,2024-02-17,In-flight Services,Catering,Catering - Gate Gourmet,1387513.43,Customer Experience,Gate Gourmet,CC-CAB-610,VP Customer Experience,Approved,2024-02-17 10:15:00
7018,2024-02-17,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,857097.54,Finance & Accounting,AIG Aviation,CC-FIN-710,Controller,Approved,2024-02-17 14:45:00
7019,2024-02-17,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2265622.13,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2024-02-17 14:45:00
